dataTime,sidoName,stationName,mangName,so2Value,coValue,o3Value,no2Value,pm10Value,pm10Value24,pm25Value,pm25Value24,khaiValue,khaiGrade,so2Grade,coGrade,o3Grade,no2Grade,pm10Grade,pm25Grade,pm10Grade1h,pm25Grade1h,so2Flag,coFlag,o3Flag,no2Flag,pm10Flag,pm25Flag
2021-09-24 08:00,서울,강남구,도시대기,0.003,0.4,0.004,0.023,19,19,10,10,38,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,서울,서초구,도시대기,0.002,0.4,0.010,0.026,19,16,5,5,43,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,서울,도산대로,도로변대기,0.003,0.9,0.008,0.023,21,17,8,10,38,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,서울,강남대로,도로변대기,0.003,0.7,0.005,0.035,26,18,8,5,58,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,서울,송파구,도시대기,0.002,0.5,0.005,0.027,22,19,11,9,45,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,서울,강동구,도시대기,0.002,0.4,0.003,0.025,22,20,9,10,42,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,서울,천호대로,도로변대기,0.003,0.5,0.002,0.027,28,24,11,10,45,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,서울,금천구,도시대기,0.003,0.5,0.003,0.027,16,18,9,10,45,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,서울,시흥대로,도로변대기,0.003,0.7,0.002,0.052,34,29,13,13,86,보통,좋음,좋음,좋음,보통,좋음,좋음,보통,좋음,,,,,,
2021-09-24 08:00,서울,강북구,도시대기,0.002,0.4,0.012,0.014,19,21,6,9,35,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,서울,양천구,도시대기,0.004,0.5,0.007,0.029,19,22,9,11,48,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
